880,718,0;880,854,0;806,880,-90;
880,716,0;880,848,0;813,880,-90;
880,714,0;880,842,0;820,880,-90;
880,712,0;880,836,0;827,880,-90;
880,710,0;880,830,0;833,880,-90;
880,708,0;880,824,0;839,880,-90;
880,706,0;880,818,0;845,880,-90;
880,704,0;880,812,0;851,880,-90;
880,702,0;880,807,0;857,880,-90;
880,700,0;880,802,0;864,876,-45;
880,698,0;880,797,0;868,872,-45;
880,696,0;880,792,0;872,868,-45;
880,694,0;880,787,0;876,864,-45;
880,692,0;880,782,0;880,860,-45;
880,690,0;880,777,0;880,854,0;
880,688,0;880,772,0;880,848,0;
880,686,0;880,767,0;880,842,0;
880,684,0;880,762,0;880,836,0;
880,682,0;880,757,0;880,830,0;
880,680,0;880,753,0;880,824,0;
880,678,0;880,749,0;880,818,0;
880,676,0;880,745,0;880,813,0;
880,674,0;880,741,0;880,808,0;
880,672,0;880,737,0;880,803,0;
880,670,0;880,733,0;880,798,0;
880,668,0;880,729,0;880,793,0;
880,666,0;880,726,0;880,788,0;
880,664,0;880,723,0;880,784,0;
880,662,0;880,720,0;880,780,0;
880,660,0;880,720,0;880,780,0;
880,658,0;880,717,0;880,776,0;
880,656,0;880,714,0;880,772,0;
880,654,0;880,714,0;880,772,0;
880,652,0;880,711,0;880,769,0;
880,650,0;880,709,0;880,769,0;
880,648,0;880,707,0;880,766,0;
880,646,0;880,705,0;880,763,0;
880,644,0;880,703,0;880,763,0;
880,642,0;880,701,0;880,760,0;
880,640,0;880,699,0;880,757,0;
880,638,0;880,697,0;880,757,0;
880,636,0;880,695,0;880,754,0;
880,634,0;880,693,0;880,751,0;
880,632,0;880,691,0;880,751,0;
880,630,0;880,689,0;880,748,0;
880,628,0;880,687,0;880,745,0;
880,626,0;880,685,0;880,745,0;
880,624,0;880,683,0;880,742,0;
880,622,0;880,681,0;880,739,0;
880,620,0;880,679,0;880,739,0;
880,618,0;880,677,0;880,736,0;
880,616,0;880,675,0;880,734,0;
880,614,0;880,673,0;880,732,0;
880,612,0;880,671,0;880,730,0;
880,610,0;880,669,0;880,728,0;
880,608,0;880,667,0;880,726,0;
880,606,0;880,665,0;880,724,0;
880,604,0;880,663,0;880,722,0;
880,602,0;880,661,0;880,720,0;
880,600,0;880,659,0;880,718,0;
880,598,0;880,657,0;880,716,0;
880,596,0;880,655,0;880,714,0;
880,594,0;880,653,0;880,712,0;
880,592,0;880,651,0;880,710,0;
880,590,0;880,649,0;880,708,0;
880,588,0;880,647,0;880,706,0;
880,586,0;880,645,0;880,704,0;
880,584,0;880,643,0;880,702,0;
880,582,0;880,641,0;880,700,0;
880,580,0;880,639,0;880,698,0;
880,578,0;880,637,0;880,696,0;
880,576,0;880,635,0;880,694,0;
880,574,0;880,633,0;880,692,0;
880,572,0;880,631,0;880,690,0;
880,570,0;880,629,0;880,688,0;
880,568,0;880,627,0;880,686,0;
880,566,0;880,625,0;880,684,0;
880,564,0;880,623,0;880,682,0;
880,562,0;880,621,0;880,680,0;
